jobLink,jobCategory,salaryLow,salaryHighAdj,salaryMean,jobSeniorityCategories,skillsAgr
/pl/job/snowflake-data-engineer-us-startup-from-poland-with-dev-remote-qux39bz,"Big Data",15000,28000,21500,"6. Mid-Senior",ETL
/pl/job/snowflake-data-engineer-us-startup-from-poland-with-dev-remote-qux39bz,"Big Data",15000,28000,21500,"6. Mid-Senior",ETL
/pl/job/snowflake-data-engineer-us-startup-from-poland-with-dev-remote-qux39bz,"Big Data",15000,28000,21500,"6. Mid-Senior",Snowflake
/pl/job/snowflake-data-engineer-us-startup-from-poland-with-dev-remote-qux39bz,"Big Data",15000,28000,21500,"6. Mid-Senior",langeng
/pl/job/snowflake-data-engineer-us-startup-from-poland-with-dev-remote-qux39bz,"Big Data",15000,28000,21500,"6. Mid-Senior",langpol_high
/pl/job/snowflake-data-engineer-us-startup-from-poland-with-dev-remote-qux39bz,"Big Data",15000,28000,21500,"6. Mid-Senior",AWS
/pl/job/snowflake-data-engineer-us-startup-from-poland-with-dev-remote-qux39bz,"Big Data",15000,28000,21500,"6. Mid-Senior",PostgreSQL
/pl/job/snowflake-data-engineer-us-startup-from-poland-with-dev-remote-qux39bz,"Big Data",15000,28000,21500,"6. Mid-Senior",spec
/pl/job/snowflake-data-engineer-us-startup-from-poland-with-dev-remote-qux39bz,"Big Data",15000,28000,21500,"6. Mid-Senior",AWS
/pl/job/snowflake-data-engineer-us-startup-from-poland-with-dev-remote-qux39bz,"Big Data",15000,28000,21500,"6. Mid-Senior",Python
/pl/job/snowflake-data-engineer-us-startup-from-poland-with-dev-remote-qux39bz,"Big Data",15000,28000,21500,"6. Mid-Senior",Data
/pl/job/snowflake-data-engineer-us-startup-from-poland-with-dev-remote-qux39bz,"Big Data",15000,28000,21500,"6. Mid-Senior",AWS
/pl/job/snowflake-data-engineer-us-startup-from-poland-with-dev-remote-qux39bz,"Big Data",15000,28000,21500,"6. Mid-Senior",Data
/pl/job/snowflake-data-engineer-us-startup-from-poland-with-dev-remote-qux39bz,"Big Data",15000,28000,21500,"6. Mid-Senior",AWS
/pl/job/snowflake-data-engineer-us-startup-from-poland-with-dev-remote-qux39bz,"Big Data",15000,28000,21500,"6. Mid-Senior",spec
