jobLink,jobId,collectDate,jobTitle,salaryLow,jobSeniorityCategories,salaryHighAdj,companyName,jobCategory,employmentType,salaryMean
/pl/job/junior-devops-engineer-anthillo-solutions-remote-cbx4kbd,cbx4kbd,26/02/2023,"Junior DevOps Engineer",10000,"3. Junior",12000,"Anthillo Solutions Sp. z o.o.",DevOps,B2B,11000
/pl/job/executive-assistant-jobhouse-gdansk-ccgre04,ccgre04,26/02/2023,"Executive Assistant",6000,"5. Mid",12000,Jobhouse,Backoffice,"Employment Contract",9000
/pl/job/specjalista-ds-telesprzedazy-coral-travel-poland-katowice-ccmnceu,ccmnceu,26/02/2023,"Specjalista ds. Telesprzedaży",4000,"5. Mid",5500,"Coral Travel Poland",Sales,"Employment Contract",4750
/pl/job/hardverbiztonsagi-kutatomernok-search-lab-kft-budapest-cdiyrkt,cdiyrkt,26/02/2023,"Hardverbiztonsági kutatómérnök",12438,"6. Senior",24876,"arch-Lab Kft",Security,"Employment Contract",18657
/pl/job/data-scientist-data-engineer-vonroll-infratec-com-krakow-cdqxlri,cdqxlri,26/02/2023,"Data Scientist / Data Engineer",20000,"7. Senior-Expert",26000,"vonRoll Infratec.com","Big Data",B2B,23000
/pl/job/c-developer-avenga-warsaw-cdyiit4,cdyiit4,26/02/2023,"C# Developer",20160,"6. Mid-Senior",27720,Avenga,Backend,B2B,23940
/pl/job/specjalista-ds-sprzedazy-grafton-recruitment-warszawa-ceoc8f0,ceoc8f0,26/02/2023,"Specjalista ds. sprzedaży",6000,"5. Mid",8000,"Grafton Recruitment",Sales,"Employment Contract",7000
/pl/job/analityk-biznesowy-ux-designer-imagene-me-remote-cet30mk,cet30mk,26/02/2023,"Analityk Biznesowy / UX Designer",12500,"6. Mid-Senior",17500,"IMAGENE.ME SA","Business Analysis",B2B,15000
/pl/job/net-developer-perfect-gym-solutions-warszawa-cey94bq,cey94bq,26/02/2023,".Net Developer",16000,"6. Mid-Senior",20000,"Perfect Gym Solutions",Backend,B2B,18000
/pl/job/payroll-specialist-vewd-software-poland-warszawa-cfaynfd,cfaynfd,26/02/2023,"Payroll Specialist",7000,"5. Mid",9500,"Vewd Software Poland Sp. z o.o.",HR,"Employment Contract",8250
/pl/job/c-developer-mid-or-senior-navtor-poland-gdansk-cfojela,cfojela,26/02/2023,"C++ Developer Mid or Senior",15000,"6. Mid-Senior",30000,"Navtor Poland",Fullstack,B2B,22500
/pl/job/asystentka-asystent-zarzadu-jobhouse-gdansk-cfoqcwd,cfoqcwd,26/02/2023,"Asystentka / Asystent Zarządu",5000,"5. Mid",8000,Jobhouse,Backoffice,"Employment Contract",6500
/pl/job/senior-backend-engineer-node-js-ramp-network-warszawa-cgs2pzg,cgs2pzg,26/02/2023,"Senior Backend Engineer Node.js",22500,"6. Senior",28000,"Ramp Network",Backend,B2B,25250
/pl/job/junior-software-tester-brag-poznan-chjkdpo,chjkdpo,26/02/2023,"Junior Software Tester",5000,"3. Junior",9000,BRAG,Testing,B2B,7000
/pl/job/junior-network-engineer-avenga-warszawa-ci8ogac,ci8ogac,26/02/2023,"Junior Network Engineer",11760,"3. Junior",15120,AVENGA,"IT Administrator",B2B,13440
/pl/job/technical-customer-support-tier-ii-hays-poland-warszawa-cicwzcb,cicwzcb,26/02/2023,"Technical Customer Support - Tier II",8500,"5. Mid",11000,"Hays Poland","IT Support","Employment Contract",9750
/pl/job/senior-application-support-engineer-networkedassets-remote-ciswl5z,ciswl5z,26/02/2023,"Senior Application Support Engineer",20000,"7. Senior-Expert",30000,"NetworkedAssets Sp. z o.o.",DevOps,"Employment Contract",25000
/pl/job/recruitment-specialist-human-resources-poland-warszawa-cixzyko,cixzyko,26/02/2023,"Recruitment Specialist",3500,"3. Junior",6000,"Human Resources Poland",HR,OTHER,4750
/pl/job/remote-c-developer-gomez-sp-j-cizoj4i,cizoj4i,26/02/2023,"Remote C# Developer",6000,"5. Mid",10000,"Gomez sp. zoo sp. j",Fullstack,B2B,8000
/pl/job/junior-cloud-engineer-reply-polska-remote-cjcydyb,cjcydyb,26/02/2023,"Junior Cloud Engineer",5000,"3. Junior",9000,"Reply Polska",AI,"Employment Contract",7000
/pl/job/senior-mid-java-developer-rits-professional-services-warszawa-cjeavha,cjeavha,26/02/2023,"Senior/Mid Java Developer",21840,"6. Mid-Senior",31920,"RITS Professional Services",Backend,B2B,26880
/pl/job/brand-manager-eagle-recruitment-warszawa-cjeoycc,cjeoycc,26/02/2023,"Brand Manager",13000,"5. Mid",17000,"EAGLE RECRUITMENT",Marketing,"Employment Contract",15000
/pl/job/fullstack-node-js-developer-yard-corporate-warszawa-cjlyv6h,cjlyv6h,26/02/2023,"Fullstack Node.js Developer",28000,"7. Senior-Expert",38000,"Yard Corporate",Fullstack,B2B,33000
/pl/job/senior-data-engineer-golang-bayer-warszawa-ck5sjdn,ck5sjdn,26/02/2023,"Senior Data Engineer (Golang)",20000,"6. Senior",26000,"Bayer Sp. z o.o.",Backend,"Employment Contract",23000
/pl/job/senior-account-manager-yetiz-interactive-poland-gdansk-ckml5cb,ckml5cb,26/02/2023,"Senior Account Manager",9100,"6. Senior",11375,"Yetiz Interactive Poland",Sales,B2B,10238
/pl/job/junior-it-project-manager-with-german-milo-solutions-ou-remote-ckrvw79,ckrvw79,26/02/2023,"Junior IT Project Manager with German",6700,"3. Junior",10100,"Milo Solutions OÜ","Project Manager",B2B,8400
/pl/job/head-of-growth-commerce-ui-remote-clalsjf,clalsjf,26/02/2023,"Head of Growth",16000,"6. Senior",30000,COMMERCE-UI,Sales,B2B,23000
/pl/job/mid-level-backend-engineer-node-js-ramp-network-warszawa-cljkuns,cljkuns,26/02/2023,"Mid-level Backend Engineer Node.js",10500,"5. Mid",16000,"Ramp Network",Backend,B2B,13250
/pl/job/remote-senior-php-backend-developer-hc-digital-services-cmguas1,cmguas1,26/02/2023,"Remote Senior PHP Backend Developer",16000,"7. Senior-Expert",26000,"HC Digital Services Gmbh",Backend,B2B,21000
/pl/job/medior-net-fejleszto-fox-wolf-hr-solutions-kft-budapest-cmjsggz,cmjsggz,26/02/2023,"Medior .Net fejlesztő",11194,"5. Mid",13681,"Fox &amp; Wolf HR Solutions Kft.",Backend,"Employment Contract",12438
/pl/job/junior-project-engineer-alten-polska-tczew-cmkjrqh,cmkjrqh,26/02/2023,"Junior Project Engineer",4500,"2. Trainee-Junior",7200,"ALTEN Polska","Project Manager","Employment Contract",5850
/pl/job/export-sales-manager-flame-employment-polska-torun-cmndmlw,cmndmlw,26/02/2023,"Export Sales Manager",11000,"6. Mid-Senior",18000,"Flame Employment Polska Sp. z o.o.",Sales,"Employment Contract",14500
/pl/job/remote-senior-mobile-developer-survicate-cnkjdfh,cnkjdfh,26/02/2023,"Remote Senior Mobile Developer",19000,"6. Senior",26000,Survicate,Mobile,B2B,22500
/pl/job/mid-it-systems-architect-softsystem-rzeszow-co3iu40,co3iu40,26/02/2023,"Mid IT Systems Architect",12000,"5. Mid",21000,"SoftSystem Sp. z o.o.","IT Administrator",B2B,16500
/pl/job/specjalista-ds-sprzedazy-nwic-new-wave-international-cargo-poland-warszawa-coaottx,coaottx,26/02/2023,"Specjalista ds. Sprzedaży",6000,"5. Mid",12000,,Sales,B2B,9000
/pl/job/skilled-junior-frontend-dev-react-ts-poola-app-carpooling-for-companies-krakow-couvrag,couvrag,26/02/2023,"Skilled Junior Frontend Dev - React",6000,"3. Junior",8000,nies,Frontend,"Employment Contract",7000
